order_id,customer_name,product,category,quantity,unit,price,currency,order_date,shipping_country,payment_method
1150,Markus Frei,Aktenordner,Büro,1,Stück,9.41,CHF,2024-07-18,Schweiz,Kreditkarte
1002,Stefan Wagner,Laptop,Elektro,1,Stück,813.87,CHF,2024-08-02,Italien,Twint
1158,Nicole Gerber,Springseil,Sport,4,Stück,16.23,CHF,2024-07-05,Deutschland ,PayPal
1052,Laura Zimmermann,Trinkflasche,Sport,4,Stück,21.09,CHF,2024-04-22,,Twint
1138,Julia Fischer,Laufschuhe,Sport,5,Stück,120.1,CHF,2024-04-02,Switzerlaand,Rechnung
1184,Anna Müller,Taschenrechner,Büro,4,Stück,18.04,CHF,2024-04-07,Schweiz,Twint
1127,Christian Lüthi,Yogamatte,Sport,4,Dutzend,42.3,CHF,2024-02-15,Österreich,Kreditkarte
1039,Nicole Gerber,Wasserkocher,Haushalt,5,Stück,42.12,CHF,2024-01-01,Deutschland ,PayPal
1129,Peter Keller,Maus,Elektro,1,Stück,31.55,CHF,2024-04-30,Deutschland,PayPal
1134,Nicole Gerber,Springseil,Sport,4,Stück,14.75,CHF,2024-02-13,Österreich,PayPal
1043,Lisa Meier,Bettwäsche,Haushalt,4,Stück,52.83,CHF,2024-12-03,Deutschland,Rechnung
1195,Anna Müller,Notizblock,Büro,3,Stück,5.5,EUR,2024-04-05,Österreich,Rechnung
1125,Daniel Schmid,Fahrradhelm,Sport,1,Dutzend,74.72,CHF,2024-09-13,Deutschland,Rechnung
1133,Sabine Maurer,Taschenrechner,Büro,5,Stück,21.71,CHF,2024-08-18,Schweiz,PayPal
1124,Franziska Graf,Aktenordner,Büro,1,Stück,8.11,CHF,2024-03-11,Deutschland,Rechnung
1167,Claudia Huber,Schuhe,Mode,5,Stück,83.14,EUR,2024-03-23,Deutschland,PayPal
1010,Christian Lüthi,Laufschuhe,Sport,2,Stück,109.04,EUR,2024-12-14, Schweiz,Kreditkarte
1011,Andreas Sommer,Bettwäsche,Haushalt,5,Stück,54.6,CHF,2024-12-14,Schweiz,Kreditkarte
1110,Peter Keller,Pullover,Mode,4,Stück,69.57,CHF,2024-10-30,Italien,Twint
1027,Anna Müller,Pullover,Mode,3,Stück,72.3,CHF,2024-02-07,Österreich,Twint
1032,Monika Lehmann,Laufschuhe,Sport,3,Stück,124.83,CHF,2024-02-08,Schweiz,PayPal
1091,Thomas Bauer,Pullover,Mode,3,Stück,68.98,CHF,2024-08-15,SCHWEIZ,Rechnung
1160,Sandra Moser,Schreibtischlampe,Büro,4,Stück,52.53,CHF,2024-07-06,Italien,Rechnung
1093,,Jeans,Mode,1,Stück,82.83,CHF,2024-03-14,Italien,Twint
1196,Lisa Meier,Springseil,Sport,2,Stück,16.08,CHF,2024-06-16,Italien,Twint
1130,Franziska Graf,Laufschuhe,Sport,2,Stück,123.63,CHF,2024-08-25,,Twint
1048,Laura Zimmermann,Wasserkocher,Haushalt,5,Stück,44.41,CHF,2024-08-18,Frankreich,PayPal
1116,Daniel Schmid,Pullover,Mode,4,Dutzend,64.21,CHF,2024-03-07,Deuschland,Kreditkarte
1088,Nicole Gerber,Kaffeemaschine,Haushalt,2,Stück,138.54,CHF,2024-02-21,Frankreich,Twint
1192,Sabine Maurer,Bettwäsche,Haushalt,2,Stück,47.76,CHF,2024-11-29,SCHWEIZ,PayPal
1082,Daniel Schmid,Trinkflasche,Sport,4,Stück,20.33,CHF,2024-06-08,Deutschland,Kreditkarte
1148,Patrick Roth,Jacke,Mode,1,Dutzend,157.76,CHF,2024-09-12,Schweiz,Kreditkarte
1037,Daniel Schmid,Messerblock,Haushalt,3,Stück,85.93,CHF,2024-12-13,Frankreich,Rechnung
